"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.686903333E0,1.955683136E0,3.611689453E0,1.116303635E1
2.696861333E0,1.611848145E0,4.614753571E0,1.217029175E1
2.706819333E0,1.241518250E0,5.903423767E0,1.257026001E1
2.716777333E0,6.294410706E-1,6.667734375E0,1.214933533E1
2.726735333E0,-2.893482971E-1,7.153773651E0,1.076695999E1
2.736693333E0,-5.710624695E-1,7.404202881E0,9.285790100E0
2.746651333E0,-8.711883545E-2,7.331454163E0,8.916058960E0
2.756609333E0,8.566685486E-1,7.092251587E0,9.766290894E0
2.766567333E0,2.001338196E0,6.686295776E0,1.167871399E1
2.776525333E0,2.706072693E0,6.011648712E0,1.378453491E1
2.786483333E0,2.628234558E0,5.289550323E0,1.537198380E1
2.796441333E0,2.002086639E0,4.746180267E0,1.549682419E1
2.806399333E0,9.785151672E-1,4.668641510E0,1.416863617E1
2.816357333E0,1.333726501E-1,4.835544434E0,1.206042023E1
2.826315333E0,-3.656895447E-1,5.107977905E0,9.862241364E0
2.836273333E0,-6.930587769E-1,5.308411102E0,8.050259399E0
2.846231333E0,-9.018745422E-1,5.188809814E0,6.322103119E0
2.856189333E0,-8.631051636E-1,4.796176300E0,4.628225555E0
2.866147333E0,-3.555107117E-1,4.567002869E0,3.607348480E0
2.876105333E0,4.150868225E-1,4.637805634E0,3.441942444E0
2.886063333E0,1.237925720E0,4.814438324E0,4.177961884E0
2.896021333E0,1.368753662E0,4.570745087E0,4.761747894E0
2.905979333E0,6.991960144E-1,3.526666260E0,4.944068756E0
2.915937333E0,-2.426454163E-1,2.165846100E0,4.688250732E0
2.925894333E0,-8.436456299E-1,1.322050781E0,4.193529510E0
2.935851333E0,-8.961863708E-1,1.095422058E0,3.745361481E0
2.945809333E0,-6.279441833E-1,1.285676422E0,3.832480316E0
2.955767333E0,-7.170089722E-2,1.716630249E0,4.306245117E0
2.965725333E0,3.700305176E-1,2.206262054E0,4.165687408E0
2.975683333E0,2.185455322E-1,1.995949402E0,5.312003632E0
2.985641333E0,9.669891357E-2,1.542242889E0,6.666536865E0
2.995599333E0,-4.140390015E-1,1.312620392E0,7.170239410E0
3.005557333E0,-1.233435059E0,1.272653503E0,7.380252686E0
3.015515333E0,-2.000140686E0,1.620530090E0,7.608228607E0
3.025473333E0,-2.485281830E0,2.697989502E0,7.497608643E0
3.035431333E0,-2.686762848E0,4.671934662E0,7.638765106E0
3.045389333E0,-2.573448486E0,7.152875519E0,8.181087341E0
3.055347333E0,-2.222278748E0,8.670719147E0,9.016200714E0
3.065305333E0,-1.515897675E0,8.438551941E0,1.149579437E1
3.075263333E0,-9.604028320E-1,7.744744720E0,1.404439453E1
3.085221333E0,-5.700146484E-1,7.394323425E0,1.581940338E1
3.095179333E0,-2.091151428E-1,7.163054352E0,1.690913727E1
3.105137333E0,1.410067749E-1,7.187303925E0,1.705104218E1
3.115095333E0,4.646337891E-1,7.571854248E0,1.647833313E1
3.125053333E0,9.401948547E-1,8.186625824E0,1.574291245E1
3.135011333E0,1.382225647E0,8.502618713E0,1.504042328E1
3.144969333E0,1.581760712E0,8.148455200E0,1.430305664E1
3.154927333E0,1.711840210E0,7.445367279E0,1.348530716E1
3.164885333E0,1.953886871E0,6.492598572E0,1.218675751E1
3.174842333E0,2.345322876E0,5.544021149E0,1.128967300E1
3.184800333E0,2.640359344E0,4.475842438E0,1.028376480E1
3.194758333E0,2.825673981E0,3.291804657E0,8.697663116E0
3.204716333E0,2.959944763E0,2.366728363E0,7.089108124E0
3.214674333E0,2.899919586E0,1.683549042E0,5.798641663E0
3.224632333E0,3.088527374E0,1.178648987E0,4.646188202E0
3.234590333E0,3.940106506E0,1.236578522E0,4.067940674E0
3.244548333E0,4.551584930E0,1.584155731E0,3.873495026E0
3.254506333E0,4.647086334E0,1.822909241E0,3.621269531E0
3.264464333E0,4.279301147E0,1.785187683E0,2.820285187E0
3.274422333E0,3.828738098E0,1.459465027E0,1.852098541E0
3.284380333E0,3.592080231E0,9.488768005E-1,1.093625793E0
