"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.929629333E0,4.793748558E-1,-4.549427032E-1,-6.111899614E-1
2.939586333E0,7.244431973E-1,-5.960068107E-1,-4.786094129E-1
2.949544333E0,9.075213671E-1,-5.799546242E-1,-4.273273051E-1
2.959502333E0,9.771462679E-1,-5.259918571E-1,-4.474073350E-1
2.969460333E0,9.670475721E-1,-2.147535533E-1,-4.376180768E-1
2.979418333E0,9.035673738E-1,3.006143868E-1,-3.421094418E-1
2.989376333E0,9.072496891E-1,7.884117365E-1,-1.625042707E-1
2.999334333E0,1.028995156E0,1.077967525E0,1.036786288E-1
3.009292333E0,1.246577263E0,1.168220758E0,4.522408843E-1
3.019250333E0,1.469805717E0,1.023765326E0,7.834951282E-1
3.029208333E0,1.665385127E0,6.826485395E-1,9.956787825E-1
3.039166333E0,1.801655531E0,1.984706372E-1,1.041112781E0
3.049124333E0,1.833642721E0,-4.415303767E-1,9.870004654E-1
3.059082333E0,1.897647142E0,-9.549522996E-1,9.615191817E-1
3.069040333E0,1.972869158E0,-1.222918272E0,1.012199879E0
3.078998333E0,1.988775492E0,-1.216493130E0,1.157397747E0
3.088956333E0,1.866770506E0,-8.962000608E-1,1.399343491E0
3.098914333E0,1.528567433E0,-3.078474700E-1,1.689712286E0
3.108872333E0,1.042520523E0,4.061702490E-1,1.958112240E0
3.118830333E0,5.236994624E-1,1.069578767E0,2.141733408E0
3.128788333E0,1.068399325E-1,1.572830439E0,2.235864401E0
3.138746333E0,-1.282926351E-1,1.863821387E0,2.294596195E0
3.148704333E0,-1.585496068E-1,1.981766701E0,2.327709913E0
3.158662333E0,-2.434315532E-2,1.898419499E0,2.345899343E0
3.168620333E0,1.923031360E-1,1.799882293E0,2.355648518E0
3.178577333E0,3.750093877E-1,1.806756258E0,2.377036572E0
3.188535333E0,4.372772872E-1,1.894702911E0,2.410291672E0
3.198493333E0,3.678908944E-1,2.007691383E0,2.437954187E0
3.208451333E0,1.969761550E-1,2.172187805E0,2.470858574E0
3.218409333E0,-3.844888136E-2,2.309454679E0,2.475343227E0
3.228367333E0,-2.192149311E-1,2.346422195E0,2.342263460E0
3.238325333E0,-2.387563586E-1,2.230214357E0,2.055297852E0
3.248283333E0,-1.292245239E-1,2.012252569E0,1.699925423E0
3.258241333E0,3.056143224E-2,1.681089640E0,1.351035714E0
3.268199333E0,1.440784037E-1,1.293770671E0,1.059952974E0
3.278157333E0,1.676684767E-1,8.707844615E-1,8.307959437E-1
3.288115333E0,1.555193961E-1,4.171059728E-1,6.030312777E-1
3.298073333E0,1.755361259E-1,1.967139542E-2,4.002322853E-1
3.308031333E0,2.119857520E-1,-3.595073223E-1,2.403089106E-1
3.317989333E0,2.901250720E-1,-6.854022741E-1,8.883607388E-2
3.327947333E0,4.056969285E-1,-9.701690674E-1,-9.982278943E-2
3.337905333E0,5.326567888E-1,-1.317453980E0,-2.858669162E-1
3.347863333E0,6.883789897E-1,-1.644535661E0,-4.431745112E-1
3.357821333E0,8.751646876E-1,-1.863101721E0,-5.219286680E-1
3.367779333E0,1.100216746E0,-2.015680075E0,-5.098608136E-1
3.377737333E0,1.351193666E0,-2.104327440E0,-4.717242122E-1
3.387695333E0,1.569737434E0,-1.964863181E0,-4.904608727E-1
3.397653333E0,1.605186224E0,-1.651300669E0,-5.344754457E-1
3.407611333E0,1.354837656E0,-1.374450803E0,-5.879048705E-1
3.417568333E0,9.158631563E-1,-1.251260042E0,-6.942114830E-1
3.427526333E0,4.839364886E-1,-1.327789426E0,-8.210633993E-1
3.437484333E0,1.396360695E-1,-1.638145924E0,-9.344808459E-1
3.447442333E0,-7.372360677E-2,-2.131171227E0,-1.057266474E0
3.457400333E0,-1.585250199E-1,-2.713938951E0,-1.144341111E0
3.467358333E0,-2.158820480E-1,-3.319572449E0,-1.115470290E0
3.477316333E0,-3.688627183E-1,-3.779128075E0,-9.640239477E-1
3.487274333E0,-6.023484468E-1,-3.943462372E0,-8.099457026E-1
3.497232333E0,-7.860212326E-1,-3.749591589E0,-7.443847060E-1
3.507190333E0,-8.805046082E-1,-3.232603073E0,-7.425878644E-1
