"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.817293137E1,2.273083687E1,-4.015412903E1,-8.414840698E0
2.818288937E1,2.320141029E1,-3.998185730E1,-8.302337646E0
2.819284737E1,2.346279716E1,-3.979673386E1,-8.465301514E0
2.820280437E1,2.382496834E1,-3.942237473E1,-8.623947144E0
2.821276237E1,2.416835976E1,-3.909051132E1,-9.559570312E0
2.822272037E1,2.479112053E1,-3.852826691E1,-1.031513977E1
2.823267837E1,2.541834068E1,-3.780529785E1,-1.109230042E1
2.824263637E1,2.575100136E1,-3.729473877E1,-1.216908264E1
2.825259437E1,2.617439079E1,-3.677006531E1,-1.297584534E1
2.826255237E1,2.639085579E1,-3.615691757E1,-1.435848999E1
2.827250937E1,2.663132286E1,-3.566237259E1,-1.540493774E1
2.828246737E1,2.702838707E1,-3.519852066E1,-1.646965027E1
2.829242537E1,2.733659554E1,-3.477143097E1,-1.703213501E1
2.830238337E1,2.766397285E1,-3.416048050E1,-1.732391357E1
2.831234137E1,2.819266319E1,-3.364250565E1,-1.765301514E1
2.832229937E1,2.858340645E1,-3.322254562E1,-1.775636292E1
2.833225737E1,2.892581749E1,-3.286996460E1,-1.775144958E1
2.834221437E1,2.932655907E1,-3.249777603E1,-1.784388733E1
2.835217237E1,2.973671150E1,-3.222865295E1,-1.806571960E1
2.836213037E1,2.986099815E1,-3.188974762E1,-1.827410889E1
2.837208837E1,2.982321358E1,-3.165314102E1,-1.856259155E1
2.838204637E1,2.967535210E1,-3.140088272E1,-1.895208740E1
2.839200437E1,2.949463844E1,-3.132615280E1,-1.937350464E1
2.840196237E1,2.952413750E1,-3.143379974E1,-1.912188721E1
2.841191937E1,2.963644218E1,-3.137121582E1,-1.876654053E1
2.842187737E1,3.011844826E1,-3.149443817E1,-1.822331238E1
2.843183537E1,3.027023888E1,-3.147661972E1,-1.782910156E1
2.844179337E1,3.064227104E1,-3.147517395E1,-1.744160461E1
2.845175137E1,3.106881523E1,-3.118041229E1,-1.662576294E1
2.846170937E1,3.149178886E1,-3.090642929E1,-1.627742004E1
2.847166737E1,3.196756172E1,-3.073456192E1,-1.590690613E1
2.848162437E1,3.235083008E1,-3.067832184E1,-1.529765320E1
2.849158237E1,3.276795197E1,-3.067006683E1,-1.458290100E1
2.850154037E1,3.299023438E1,-3.072466660E1,-1.371629333E1
2.851149837E1,3.309019470E1,-3.097261810E1,-1.292208862E1
2.852145637E1,3.300821686E1,-3.135357285E1,-1.198838806E1
2.853141437E1,3.279970551E1,-3.185482788E1,-1.118898010E1
2.854137237E1,3.241068268E1,-3.250510788E1,-1.042729187E1
2.855132937E1,3.196346092E1,-3.311791611E1,-1.023619080E1
2.856128737E1,3.137849998E1,-3.361301804E1,-1.033366394E1
