"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.638887208E2,2.259055778E1,1.139627894E2,2.240220887E1,1.940346131E0,3.558693643E2,1.423301031E1,1.423301031E1
1.648887235E2,2.259058404E1,1.139627864E2,2.233862295E1,2.309093673E0,3.556058509E2,1.423814472E1,1.423814472E1
1.658887264E2,2.259059611E1,1.139627851E2,2.264603350E1,1.780299788E0,3.579698994E2,1.423251492E1,1.423251492E1
1.668887291E2,2.259062030E1,1.139627834E2,2.254702456E1,2.162741365E0,3.592262735E2,1.423517838E1,1.423517838E1
1.678887326E2,2.259063605E1,1.139627835E2,2.217106253E1,1.852494953E0,3.031144595E0,1.423352688E1,1.423352688E1
1.688887355E2,2.259065987E1,1.139627789E2,2.261919162E1,2.174094239E0,3.583413202E2,1.423756489E1,1.423756489E1
1.698887386E2,2.259067700E1,1.139627769E2,2.267335154E1,1.760954485E0,3.570452670E2,1.423306013E1,1.423306013E1
1.708887411E2,2.259069693E1,1.139627837E2,2.236905888E1,1.852628064E0,8.070420571E0,1.423667255E1,1.423667255E1
1.718887436E2,2.259072541E1,1.139627832E2,2.233367395E1,2.191211892E0,3.545939223E0,1.423846115E1,1.423846115E1
1.728887454E2,2.259074690E1,1.139627804E2,2.212688801E1,1.841889157E0,3.581729309E2,1.423396094E1,1.423396094E1
1.738887483E2,2.259077901E1,1.139627863E2,2.220812272E1,2.272316710E0,3.446448291E0,1.423278541E1,1.423278541E1
1.748887507E2,2.259079900E1,1.139627910E2,2.251761959E1,1.808967474E0,8.852742846E0,1.423139462E1,1.423139462E1
1.758887528E2,2.259081841E1,1.139627856E2,2.239056876E1,1.930711989E0,3.573483521E2,1.423439556E1,1.423439556E1
1.768887546E2,2.259084158E1,1.139627863E2,2.280436383E1,2.150975998E0,1.366369832E-1,1.423748301E1,1.423748301E1
1.778887577E2,2.259085587E1,1.139627875E2,2.199286221E1,1.830840970E0,3.599513067E2,1.423480454E1,1.423480454E1
1.788887595E2,2.259087258E1,1.139627858E2,2.164915277E1,1.815102565E0,4.599830299E-1,1.423732396E1,1.423732396E1
1.798887606E2,2.259089488E1,1.139627834E2,2.133788764E1,1.974993207E0,1.309813480E-1,1.423812571E1,1.423812571E1
1.808887633E2,2.259092131E1,1.139627789E2,2.163135354E1,2.415155039E0,3.570702144E2,1.423715793E1,1.423715793E1
1.818887652E2,2.259093560E1,1.139627771E2,2.184104869E1,1.882515000E0,3.571639737E2,1.423333154E1,1.423333154E1
1.828887681E2,2.259096562E1,1.139627742E2,2.148112743E1,2.487694738E0,3.556074296E2,1.423220865E1,1.423220865E1
1.838887690E2,2.259098620E1,1.139627687E2,2.197484761E1,2.070759147E0,3.511974437E2,1.423178369E1,1.423178369E1
1.848887705E2,2.259100742E1,1.139627628E2,2.205615693E1,1.872737290E0,3.462861494E2,1.422801435E1,1.422801435E1
