"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.216754558E2,2.258768521E1,1.139650287E2,2.112482001E1,1.316699430E0,2.763276088E2,1.420547923E1,1.420547923E1
1.226754851E2,2.258768745E1,1.139650210E2,2.121201938E1,1.078037146E0,2.777689014E2,1.420975536E1,1.420975536E1
1.236755146E2,2.258769202E1,1.139650088E2,2.091214833E1,1.112432139E0,2.796252925E2,1.420964403E1,1.420964403E1
1.246755438E2,2.258769725E1,1.139650002E2,2.060801189E1,9.592497722E-1,2.799611560E2,1.421488854E1,1.421488854E1
1.256755738E2,2.258769827E1,1.139649883E2,2.067399565E1,1.030963202E0,2.766861628E2,1.421411156E1,1.421411156E1
1.266756028E2,2.258769264E1,1.139649684E2,2.086030544E1,1.435280322E0,2.641933072E2,1.421527691E1,1.421527691E1
1.276756318E2,2.258768975E1,1.139649515E2,2.079119131E1,1.635030406E0,2.653305640E2,1.421597177E1,1.421597177E1
1.286756614E2,2.258768404E1,1.139649370E2,2.032633051E1,1.598560010E0,2.599825835E2,1.422055408E1,1.422055408E1
1.296756914E2,2.258768659E1,1.139649288E2,2.010874487E1,1.188083802E0,2.663735645E2,1.422229222E1,1.422229222E1
1.306757212E2,2.258768962E1,1.139649148E2,1.965978292E1,1.425938020E0,2.757506270E2,1.422593628E1,1.422593628E1
1.316757499E2,2.258769360E1,1.139649085E2,1.973578197E1,1.174430992E0,2.894495951E2,1.422581424E1,1.422581424E1
1.326760367E2,2.258768919E1,1.139649017E2,1.997837524E1,8.311529839E-1,2.776217646E2,1.422579738E1,1.422579738E1
1.336759990E2,2.258769001E1,1.139648975E2,1.994443199E1,5.341413836E-1,2.780372646E2,1.422429042E1,1.422429042E1
1.346759679E2,2.258769010E1,1.139648987E2,1.968772239E1,0.000000000E0,2.751737627E2,1.422693549E1,1.422693549E1
1.356758945E2,2.258769083E1,1.139648993E2,1.939466600E1,0.000000000E0,2.751737626E2,1.422973212E1,1.422973212E1
1.366758239E2,2.258768757E1,1.139648938E2,1.850282381E1,0.000000000E0,2.751737621E2,1.422945123E1,1.422945123E1
1.376757299E2,2.258769713E1,1.139648780E2,1.835365919E1,9.705663039E-1,2.910668877E2,1.422878595E1,1.422878595E1
1.386756483E2,2.258769958E1,1.139648772E2,1.799994740E1,4.984324340E-1,3.029981903E2,1.423358427E1,1.423358427E1
1.396755459E2,2.258769963E1,1.139648748E2,1.781292963E1,4.995757403E-1,2.952626535E2,1.423461706E1,1.423461706E1
1.406754515E2,2.258769031E1,1.139648416E2,1.701559273E1,1.782370966E0,2.608755811E2,1.423415293E1,1.423415293E1
1.416753513E2,2.258768544E1,1.139648257E2,1.649233431E1,1.623512058E0,2.596821638E2,1.423369462E1,1.423369462E1
1.426752622E2,2.258768451E1,1.139647983E2,1.655060343E1,2.250325450E0,2.647979145E2,1.423357782E1,1.423357782E1
1.436751649E2,2.258768807E1,1.139647801E2,1.643489852E1,2.060497804E0,2.711792446E2,1.423352102E1,1.423352102E1
1.446750793E2,2.258769159E1,1.139647532E2,1.642046032E1,2.457100229E0,2.747973327E2,1.423257264E1,1.423257264E1
1.456749854E2,2.258769302E1,1.139647453E2,1.611842767E1,1.044591868E0,2.846841391E2,1.423070075E1,1.423070075E1
1.466748991E2,2.258768958E1,1.139647148E2,1.618576120E1,2.082217023E0,2.755914129E2,1.423215222E1,1.423215222E1
1.476748077E2,2.258769154E1,1.139647088E2,1.547794113E1,1.023595021E0,2.767727609E2,1.423194267E1,1.423194267E1
1.486747264E2,2.258769422E1,1.139646966E2,1.519066559E1,1.227723085E0,2.785651065E2,1.423529026E1,1.423529026E1
1.496746405E2,2.258769455E1,1.139646897E2,1.534051678E1,8.881929313E-1,2.773692589E2,1.424160044E1,1.424160044E1
