"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.843725333E0,2.167941742E0,3.599414978E0,6.627468109E0
3.853681333E0,1.817221069E0,2.764451294E0,7.837551727E0
3.863637333E0,1.290915527E0,1.547332306E0,8.915160828E0
3.873593333E0,7.785310364E-1,6.361770630E-1,9.843230896E0
3.883549333E0,2.260299683E-1,5.433700562E-2,1.028780640E1
3.893505333E0,-2.134561157E-1,-2.357597351E-1,1.022673340E1
3.903461333E0,-4.614903259E-1,-2.157014465E-1,9.861343231E0
3.913416333E0,-5.122348022E-1,6.451583862E-2,9.253607025E0
3.923372333E0,-1.384620667E-1,6.315367126E-1,8.513246613E0
3.933328333E0,1.579216003E-1,1.426234131E0,7.905211029E0
3.943284333E0,1.948947144E-1,1.983824615E0,7.180418243E0
3.953240333E0,-9.131011963E-3,2.223326569E0,6.480024719E0
3.963196333E0,-3.930825806E-1,2.406096497E0,5.901328125E0
3.973152333E0,-8.044271851E-1,2.441273346E0,5.488187256E0
3.983108333E0,-1.060694275E0,2.423460388E0,5.374274139E0
3.993064333E0,-1.156495056E0,2.416275330E0,5.614524536E0
4.003019333E0,-9.334588623E-1,2.416574707E0,6.003415833E0
4.012975333E0,-5.423222351E-1,2.543061676E0,6.349196777E0
4.022931333E0,-2.933898926E-2,2.670895844E0,6.674320679E0
4.032887333E0,4.767585754E-1,2.702180786E0,7.057074738E0
4.042843333E0,7.970924377E-1,2.546205139E0,7.778125305E0
4.052799333E0,8.623567200E-1,2.249821472E0,8.666378174E0
4.062755333E0,7.240443420E-1,1.897603912E0,9.416468353E0
