"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.575993750E0,-1.113045216E0,1.117996454E0,1.045668602E1
2.585993750E0,-8.418300748E-1,1.204819679E0,9.768017769E0
2.595993750E0,-6.488573551E-1,1.190473795E0,1.001447678E1
2.607993750E0,-6.801544428E-1,1.209627271E0,1.030168438E1
2.619993750E0,-5.509440899E-1,1.191881418E0,1.002742386E1
2.629993750E0,-5.169081688E-1,1.214951992E0,9.985937119E0
2.641992187E0,-4.225191474E-1,1.265833616E0,9.823514938E0
2.651993750E0,-2.860687971E-1,1.296948552E0,1.018835258E1
2.661993750E0,-6.337069273E-1,1.216484308E0,1.016283131E1
2.673993750E0,-5.315319300E-1,1.151170492E0,1.035616684E1
2.683993750E0,-4.225095510E-1,8.612326384E-1,1.040359211E1
2.693993750E0,-3.827083409E-1,7.664318085E-1,1.039767265E1
2.705993750E0,-3.119548857E-1,6.016724706E-1,1.055655289E1
2.715993750E0,-4.194737375E-1,4.323066473E-1,1.068214226E1
2.727992187E0,-5.652997494E-1,4.754788876E-1,1.051677990E1
2.737993750E0,-5.014990568E-1,4.693401456E-1,1.030908775E1
2.749992187E0,-3.951007426E-1,4.755842388E-1,1.049952221E1
2.759993750E0,-4.186213613E-1,5.443552732E-1,1.053169155E1
2.769993750E0,-5.553207397E-1,7.297718525E-1,1.045791149E1
2.779993750E0,-6.380547285E-1,8.562048078E-1,1.043272495E1
2.791993750E0,-5.390784144E-1,8.708382249E-1,1.003602409E1
2.801993750E0,-1.987570524E-1,7.885351181E-1,1.025694275E1
2.813992187E0,-2.158133388E-1,7.101489305E-1,9.943627357E0
2.823993750E0,-1.076241508E-1,6.114503741E-1,9.879568100E0
2.833993750E0,5.940493569E-2,3.288579583E-1,1.009043980E1
2.845993750E0,2.599815726E-1,7.982268184E-2,1.012180328E1
2.855993750E0,1.490150988E-1,-4.525998980E-2,9.827613831E0
2.865993750E0,1.317577064E-1,-8.937075734E-2,1.004665470E1
2.875993750E0,1.395915449E-1,-1.382507831E-1,1.026529312E1
2.887993750E0,-3.497450054E-2,-1.153047569E-2,1.017729187E1
2.899992187E0,-1.736179292E-1,5.357265845E-2,1.006715775E1
2.909993750E0,-2.319789827E-1,2.141373977E-2,9.911516190E0
2.921992187E0,-2.274491638E-1,-1.140980795E-1,9.794688225E0
2.931993750E0,-2.859059870E-1,-2.208507359E-1,9.870604515E0
2.941993750E0,-1.087159142E-1,-4.004254341E-1,9.899707794E0
2.951993750E0,7.856812328E-2,-5.158259869E-1,9.943311691E0
2.963993750E0,1.389020085E-1,-5.874509215E-1,1.026392365E1
2.973993750E0,1.273044944E-1,-5.537596941E-1,1.005153942E1
2.985992187E0,2.328217477E-1,-3.120411038E-1,9.902590752E0
2.995993750E0,2.043499053E-1,-2.301881313E-1,9.538969040E0
3.005993750E0,8.167100698E-2,-2.015630454E-1,9.113844872E0
3.017993750E0,1.411717087E-1,-1.639549285E-1,9.051729202E0
3.027993750E0,8.086655289E-2,-2.628546059E-1,9.077730179E0
3.037993750E0,1.613212973E-1,-3.661117554E-1,9.157514572E0
3.049993750E0,1.984410137E-1,-4.777964652E-1,9.051595688E0
3.061992187E0,2.634962797E-1,-4.565359354E-1,9.246751785E0
3.071992187E0,1.682166159E-1,-4.632110000E-1,9.322944641E0
3.081996875E0,1.175936162E-1,-4.034900069E-1,9.368587494E0
3.093992187E0,1.636389047E-1,-4.094659388E-1,9.334868431E0
3.103993750E0,1.720186025E-1,-3.856101334E-1,9.469709396E0
3.113993750E0,5.294058472E-2,-3.343646228E-1,9.689774513E0
3.124006250E0,4.548983183E-3,-3.089382052E-1,9.763746262E0
3.135993750E0,-8.766609430E-2,-3.142533302E-1,9.805443764E0
3.145993750E0,-1.798524335E-2,-2.759748399E-1,9.729930878E0
3.155993750E0,-2.546472847E-2,-2.438063473E-1,9.652808189E0
3.167993750E0,1.104876176E-1,-1.340944469E-1,9.665994644E0
3.177993750E0,1.060535610E-1,1.782243699E-2,9.504118919E0
3.189993750E0,7.090667635E-2,2.022813112E-1,9.339924812E0
3.199993750E0,7.490020990E-2,2.380506843E-1,9.485280991E0
3.209993750E0,9.258856624E-2,2.626534998E-1,9.432925224E0
3.221993750E0,9.410169721E-2,2.465357333E-1,9.310045242E0
3.231993750E0,1.557188779E-1,2.140512019E-1,9.582207680E0
3.243992187E0,3.048872054E-1,6.701849401E-2,9.631864548E0
3.253993750E0,2.681314349E-1,1.532289088E-1,9.364019394E0
3.263993750E0,3.109589219E-1,3.339049518E-1,9.073679924E0
3.275993750E0,4.040454626E-1,3.559507430E-1,9.209277153E0
3.285993750E0,4.187267125E-1,4.335899353E-1,9.327905655E0
3.297992187E0,3.885214925E-1,4.580299258E-1,9.325003624E0
3.307993750E0,3.838096857E-1,4.888385236E-1,9.482676506E0
3.317993750E0,4.195407331E-1,4.723185301E-1,9.732008934E0
3.329992187E0,4.081156254E-1,3.393158615E-1,9.950235367E0
3.339993750E0,4.734964967E-1,2.654307783E-1,1.014915562E1
3.349993750E0,4.154418707E-1,3.428975642E-1,1.001185226E1
3.361993750E0,3.608732224E-1,5.344528556E-1,1.006007099E1
3.371993750E0,2.891908288E-1,7.367724776E-1,1.014379215E1
3.383992187E0,1.093767062E-1,8.507364392E-1,9.992430687E0
3.393993750E0,3.575979546E-2,9.815939665E-1,9.955388069E0
3.403993750E0,8.537723869E-2,9.057073593E-1,1.003069019E1
3.415992187E0,1.592527181E-1,8.491563201E-1,9.997525215E0
3.425993750E0,1.991305351E-1,7.815248966E-1,9.973631859E0
3.435993750E0,3.025217652E-1,7.316775918E-1,9.724318504E0
3.445993750E0,2.963255644E-1,8.234521747E-1,9.569126129E0
3.457993750E0,2.522818148E-1,8.900780082E-1,9.520016670E0
3.469992187E0,2.155068815E-1,9.666349888E-1,9.577583313E0
3.479993750E0,8.775228262E-2,1.013858199E0,9.653737068E0
3.489993750E0,-1.157452837E-1,1.086603642E0,9.767107010E0
3.501993750E0,-3.025121689E-1,1.102166057E0,9.888522148E0
3.511993750E0,-3.056150377E-1,1.043259025E0,1.000444031E1
3.521993750E0,-2.247101963E-1,9.514365792E-1,1.003855228E1
3.533993750E0,-1.591378003E-1,8.662509322E-1,1.010325432E1
3.543993750E0,-4.871721566E-2,7.910825014E-1,1.023260784E1
3.555992187E0,-1.574235559E-1,8.176581860E-1,1.027225494E1
3.565993750E0,1.266628504E-1,8.028523922E-1,1.035202026E1
3.575993750E0,1.402331889E-1,8.112321496E-1,1.042050362E1
3.585993750E0,1.050001085E-1,8.316403031E-1,1.038707161E1
3.595993750E0,2.143480778E-1,8.739027977E-1,1.042215157E1
3.607993750E0,1.067526639E-1,9.800521135E-1,1.030632973E1
3.619993750E0,3.011905588E-2,1.077390790E0,1.032358646E1
3.629993750E0,-3.296336904E-2,1.119643688E0,1.022277260E1
3.641992187E0,-1.091947481E-1,1.139917731E0,1.016842365E1
3.651993750E0,-2.194142193E-1,1.137054324E0,1.027846050E1
3.661993750E0,-3.704596162E-1,1.073885679E0,1.042603016E1
3.673993750E0,-2.695488036E-1,8.620467186E-1,1.055242443E1
3.685992187E0,-1.147109941E-1,6.768025160E-1,1.068786049E1
3.695998437E0,-1.350329816E-2,4.729505777E-1,1.097125721E1
3.707992187E0,-3.395935893E-2,3.689177632E-1,1.098135090E1
3.717992187E0,-8.162312210E-2,3.236003220E-1,1.073638535E1
3.727992187E0,2.163400687E-2,2.575490773E-1,1.062399197E1
3.737993750E0,-4.096000269E-2,2.390562445E-1,1.045750046E1
3.747993750E0,-1.363545656E-1,3.216083348E-1,1.058036995E1
3.759993750E0,-5.327577516E-2,3.514113426E-1,1.046124458E1
3.769993750E0,1.819593366E-3,2.790010870E-1,1.070520401E1
3.779993750E0,1.918904781E-1,1.672972441E-1,1.085034943E1
3.791993750E0,2.708703876E-1,5.631162226E-2,1.089877033E1
3.803992187E0,2.606423497E-1,-3.068408929E-2,1.064988804E1
3.813992187E0,2.729772925E-1,-9.553822130E-2,1.039552879E1
3.823993750E0,1.426561177E-1,-1.080934256E-1,1.031963158E1
3.833993750E0,-2.965936996E-2,-1.191163287E-1,1.040625381E1
3.845993750E0,-1.087925285E-1,-1.387487799E-1,1.028432274E1
3.855993750E0,-1.512752324E-1,-1.655446738E-1,1.018084431E1
3.865993750E0,-1.886247844E-1,-2.258977145E-1,1.021759129E1
3.875993750E0,-2.256678790E-1,-3.491512239E-1,1.010065842E1
3.887993750E0,-2.893249094E-1,-5.819250941E-1,9.958768845E0
3.899992187E0,-4.887236059E-1,-7.304134369E-1,9.811716080E0
3.909993750E0,-5.838978887E-1,-7.883052826E-1,9.743050575E0
3.919993750E0,-6.899993420E-1,-7.718810439E-1,9.513360023E0
3.931993750E0,-8.527572155E-1,-5.735453963E-1,9.201434135E0
3.941993750E0,-6.643239260E-1,-5.144948363E-1,9.040275574E0
3.951993750E0,-5.337728858E-1,-5.181339979E-1,9.031857491E0
3.963993750E0,-3.821911812E-1,-5.114302039E-1,9.133410454E0
3.973993750E0,-2.222968489E-1,-5.182105899E-1,9.150457382E0
3.985992187E0,-1.420527846E-1,-5.302199125E-1,9.185967445E0
3.995993750E0,-9.456139058E-2,-5.178850293E-1,9.247011185E0
4.005993750E0,-6.675034016E-2,-5.179998875E-1,9.293247223E0
4.017993750E0,4.766377062E-2,-4.780933559E-1,9.431200981E0
4.027993750E0,5.236597732E-2,-4.443733990E-1,9.483336449E0
4.037993750E0,1.081125736E-1,-3.882437348E-1,9.385184288E0
4.049993750E0,1.112346128E-1,-3.302370310E-1,9.430243492E0
4.059993750E0,6.879977882E-2,-3.559028506E-1,9.509692192E0
4.069993750E0,5.200206302E-3,-3.261477351E-1,9.531460762E0
4.079993750E0,-1.538992859E-2,-2.767984569E-1,9.623349190E0
4.089993750E0,-1.666364260E-2,-2.189545333E-1,9.508869171E0
4.099993750E0,-5.813121796E-2,-1.354064792E-1,9.456905365E0
4.111992187E0,-1.147301495E-2,8.858546615E-3,9.452758789E0
4.121993750E0,1.101332833E-3,1.228704304E-1,9.237893105E0
4.133992187E0,-3.801992536E-2,2.956934869E-1,9.014523506E0
4.143992187E0,-6.062118709E-2,3.953306079E-1,9.008633614E0
4.153993750E0,-1.798045486E-1,4.735156298E-1,8.933398247E0
4.165992187E0,-3.512293994E-1,5.206047893E-1,8.890513420E0
4.175993750E0,-3.283791244E-1,5.344815850E-1,8.925209999E0
4.187992187E0,-2.740403116E-1,4.740998149E-1,8.921188354E0
4.197992187E0,-1.898601949E-1,3.921415210E-1,9.076246262E0
4.207993750E0,-6.856993772E-3,3.891918659E-1,9.257190704E0
4.219993750E0,4.871721566E-2,4.838681519E-1,9.480904579E0
4.231993750E0,8.923668414E-2,5.813121796E-1,9.759159088E0
