"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
5.682987219E1,1.437500000E0,-3.268750000E1,-4.131250000E1
5.683987219E1,1.250000000E0,-3.268750000E1,-4.143750000E1
5.684987375E1,1.125000000E0,-3.262500000E1,-4.162500000E1
5.685987375E1,8.750000000E-1,-3.243750000E1,-4.162500000E1
5.687987219E1,6.250000000E-1,-3.237500000E1,-4.193750000E1
5.688987219E1,6.250000000E-1,-3.231250000E1,-4.206250000E1
5.689987219E1,5.000000000E-1,-3.243750000E1,-4.212500000E1
5.690987219E1,5.625000000E-1,-3.231250000E1,-4.212500000E1
5.691987375E1,5.625000000E-1,-3.243750000E1,-4.225000000E1
5.692987375E1,5.625000000E-1,-3.250000000E1,-4.231250000E1
5.693987375E1,6.250000000E-1,-3.256250000E1,-4.243750000E1
5.695987219E1,5.625000000E-1,-3.225000000E1,-4.218750000E1
5.696987375E1,6.250000000E-1,-3.225000000E1,-4.231250000E1
5.698987219E1,4.375000000E-1,-3.187500000E1,-4.237500000E1
5.699987375E1,5.000000000E-1,-3.181250000E1,-4.243750000E1
5.700987375E1,2.500000000E-1,-3.175000000E1,-4.237500000E1
5.702987219E1,1.875000000E-1,-3.162500000E1,-4.231250000E1
5.703987219E1,0.000000000E0,-3.175000000E1,-4.237500000E1
5.704987219E1,-6.250000000E-2,-3.187500000E1,-4.250000000E1
5.705987219E1,-6.250000000E-2,-3.187500000E1,-4.237500000E1
5.706987688E1,-3.750000000E-1,-3.175000000E1,-4.237500000E1
5.708987375E1,-7.500000000E-1,-3.168750000E1,-4.237500000E1
5.710987375E1,-7.500000000E-1,-3.162500000E1,-4.237500000E1
5.712988625E1,-9.375000000E-1,-3.137500000E1,-4.256250000E1
5.714987375E1,-1.187500000E0,-3.106250000E1,-4.268750000E1
5.716987219E1,-1.125000000E0,-3.100000000E1,-4.287500000E1
5.717987375E1,-1.062500000E0,-3.087500000E1,-4.287500000E1
5.719987219E1,-1.250000000E0,-3.075000000E1,-4.281250000E1
5.720987375E1,-1.250000000E0,-3.068750000E1,-4.281250000E1
5.721987375E1,-1.375000000E0,-3.075000000E1,-4.268750000E1
5.723987219E1,-1.625000000E0,-3.075000000E1,-4.262500000E1
5.724987219E1,-1.687500000E0,-3.050000000E1,-4.268750000E1
5.725987219E1,-1.687500000E0,-3.043750000E1,-4.268750000E1
5.726987219E1,-1.812500000E0,-3.043750000E1,-4.275000000E1
5.727987375E1,-1.812500000E0,-3.037500000E1,-4.281250000E1
5.728987375E1,-1.750000000E0,-3.050000000E1,-4.262500000E1
5.730987219E1,-1.687500000E0,-3.037500000E1,-4.262500000E1
5.731987219E1,-1.500000000E0,-3.012500000E1,-4.250000000E1
5.732987219E1,-1.687500000E0,-3.031250000E1,-4.262500000E1
5.733987219E1,-1.562500000E0,-3.056250000E1,-4.250000000E1
5.734987375E1,-1.500000000E0,-3.056250000E1,-4.243750000E1
5.735987375E1,-1.500000000E0,-3.075000000E1,-4.262500000E1
5.736987375E1,-1.500000000E0,-3.081250000E1,-4.250000000E1
5.738987219E1,-1.375000000E0,-3.093750000E1,-4.262500000E1
5.739987219E1,-1.312500000E0,-3.106250000E1,-4.262500000E1
5.740987375E1,-1.375000000E0,-3.125000000E1,-4.281250000E1
5.741987375E1,-1.312500000E0,-3.112500000E1,-4.275000000E1
5.742987375E1,-1.125000000E0,-3.100000000E1,-4.281250000E1
5.743987375E1,-1.312500000E0,-3.112500000E1,-4.275000000E1
5.744987375E1,-1.250000000E0,-3.100000000E1,-4.275000000E1
5.745987375E1,-1.250000000E0,-3.106250000E1,-4.293750000E1
5.747987219E1,-1.312500000E0,-3.118750000E1,-4.275000000E1
5.748987219E1,-1.375000000E0,-3.118750000E1,-4.262500000E1
5.749987375E1,-1.312500000E0,-3.112500000E1,-4.243750000E1
5.750987375E1,-1.250000000E0,-3.137500000E1,-4.231250000E1
5.752987375E1,-1.187500000E0,-3.156250000E1,-4.206250000E1
5.753987375E1,-1.250000000E0,-3.175000000E1,-4.181250000E1
5.754987375E1,-1.187500000E0,-3.187500000E1,-4.168750000E1
5.755987375E1,-1.125000000E0,-3.206250000E1,-4.162500000E1
5.756987375E1,-1.125000000E0,-3.200000000E1,-4.143750000E1
5.757988312E1,-1.062500000E0,-3.206250000E1,-4.131250000E1
5.759987219E1,-1.125000000E0,-3.206250000E1,-4.118750000E1
5.760987375E1,-1.187500000E0,-3.206250000E1,-4.143750000E1
5.762988625E1,-1.125000000E0,-3.206250000E1,-4.112500000E1
5.764987375E1,-1.375000000E0,-3.206250000E1,-4.137500000E1
5.765987375E1,-1.500000000E0,-3.218750000E1,-4.137500000E1
5.767987219E1,-1.500000000E0,-3.237500000E1,-4.162500000E1
5.768987375E1,-1.312500000E0,-3.237500000E1,-4.168750000E1
5.770987375E1,-1.437500000E0,-3.250000000E1,-4.168750000E1
5.771987375E1,-1.312500000E0,-3.237500000E1,-4.168750000E1
5.773987219E1,-1.000000000E0,-3.212500000E1,-4.168750000E1
5.774987219E1,-9.375000000E-1,-3.212500000E1,-4.187500000E1
5.775987219E1,-8.750000000E-1,-3.200000000E1,-4.187500000E1
5.776987219E1,-6.250000000E-1,-3.200000000E1,-4.200000000E1
5.777987375E1,-6.875000000E-1,-3.193750000E1,-4.206250000E1
5.778987375E1,-5.000000000E-1,-3.206250000E1,-4.206250000E1
5.780987219E1,-3.125000000E-1,-3.225000000E1,-4.225000000E1
5.781987219E1,-3.125000000E-1,-3.237500000E1,-4.218750000E1
5.782987219E1,-4.375000000E-1,-3.250000000E1,-4.212500000E1
5.783987219E1,-3.750000000E-1,-3.243750000E1,-4.212500000E1
5.784987375E1,-1.250000000E-1,-3.250000000E1,-4.218750000E1
5.785987375E1,-1.875000000E-1,-3.256250000E1,-4.193750000E1
5.786987375E1,-1.875000000E-1,-3.262500000E1,-4.206250000E1
5.788987219E1,-5.000000000E-1,-3.237500000E1,-4.206250000E1
5.789987375E1,-2.500000000E-1,-3.250000000E1,-4.206250000E1
5.791987219E1,1.250000000E-1,-3.225000000E1,-4.225000000E1
5.792987375E1,6.250000000E-2,-3.212500000E1,-4.231250000E1
5.793987375E1,0.000000000E0,-3.206250000E1,-4.225000000E1
5.795987219E1,1.875000000E-1,-3.187500000E1,-4.231250000E1
5.796987219E1,1.250000000E-1,-3.162500000E1,-4.231250000E1
5.797987219E1,3.750000000E-1,-3.168750000E1,-4.256250000E1
5.798987219E1,1.250000000E-1,-3.143750000E1,-4.256250000E1
5.799987375E1,1.875000000E-1,-3.156250000E1,-4.231250000E1
5.800987375E1,6.250000000E-2,-3.150000000E1,-4.237500000E1
5.802987219E1,0.000000000E0,-3.156250000E1,-4.231250000E1
5.803987219E1,-1.875000000E-1,-3.168750000E1,-4.225000000E1
5.804987219E1,-3.125000000E-1,-3.168750000E1,-4.225000000E1
5.805987688E1,-5.000000000E-1,-3.187500000E1,-4.237500000E1
5.807987375E1,-7.500000000E-1,-3.193750000E1,-4.212500000E1
5.808987375E1,-9.375000000E-1,-3.181250000E1,-4.212500000E1
5.810987219E1,-1.125000000E0,-3.193750000E1,-4.237500000E1
5.811987219E1,-1.062500000E0,-3.187500000E1,-4.250000000E1
5.812988625E1,-1.125000000E0,-3.193750000E1,-4.262500000E1
5.814987375E1,-1.125000000E0,-3.181250000E1,-4.268750000E1
5.816987219E1,-1.187500000E0,-3.168750000E1,-4.262500000E1
5.817987375E1,-1.250000000E0,-3.156250000E1,-4.281250000E1
5.819991594E1,-1.375000000E0,-3.131250000E1,-4.268750000E1
5.821987375E1,-1.750000000E0,-3.131250000E1,-4.281250000E1
5.823987219E1,-1.437500000E0,-3.150000000E1,-4.275000000E1
5.824987219E1,-1.437500000E0,-3.150000000E1,-4.293750000E1
5.825987219E1,-1.562500000E0,-3.168750000E1,-4.287500000E1
