"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.851304000E0,-7.346750796E-2,-5.003036857E-1,-3.350625038E-1
1.861260000E0,-1.698714942E-1,-4.401121736E-1,-5.311793089E-1
1.871216000E0,-2.678047121E-1,-2.983984351E-1,-6.451594234E-1
1.881172000E0,-3.437071443E-1,-9.614735842E-2,-6.316708326E-1
1.891128000E0,-3.994284570E-1,1.128383577E-1,-5.258498788E-1
1.901084000E0,-4.378578961E-1,2.834067047E-1,-3.914719522E-1
1.911040000E0,-4.657241702E-1,3.813881278E-1,-2.686171234E-1
1.920996000E0,-4.475194812E-1,3.976345360E-1,-2.023511380E-1
1.930952000E0,-3.631097972E-1,3.472526073E-1,-2.056827545E-1
1.940908000E0,-2.032021582E-1,2.793412507E-1,-2.655444443E-1
1.950864000E0,-3.340713680E-3,2.047474235E-1,-3.377462029E-1
1.960819000E0,1.863184273E-1,1.204854473E-1,-3.803254962E-1
1.970775000E0,3.232765496E-1,5.111648887E-2,-3.873565197E-1
1.980731000E0,3.858388960E-1,-1.148097962E-2,-3.606679738E-1
1.990687000E0,3.753082454E-1,-6.007088348E-2,-3.024038672E-1
2.000643000E0,2.952254117E-1,-6.907780468E-2,-2.589980960E-1
2.010599000E0,1.736838073E-1,-3.342899680E-2,-2.439086288E-1
2.020555000E0,4.633183405E-2,2.946282923E-2,-2.560449243E-1
2.030511000E0,-6.717076153E-2,6.391215324E-2,-2.953851223E-1
2.040467000E0,-1.442709267E-1,6.589474529E-2,-3.580442965E-1
2.050423000E0,-1.663245708E-1,5.706050247E-2,-4.135389626E-1
2.060378000E0,-1.442012638E-1,5.074629560E-2,-4.038990438E-1
2.070334000E0,-9.017478675E-2,5.701990426E-2,-3.319974244E-1
2.080290000E0,-1.173006371E-2,4.551313818E-2,-2.355261296E-1
2.090246000E0,9.397266805E-2,2.517467365E-3,-1.024311855E-1
2.100202000E0,2.407118082E-1,-5.381521955E-2,5.061743408E-2
2.110158000E0,4.061852098E-1,-1.259666532E-1,1.927990764E-1
2.120114000E0,5.601037145E-1,-2.090942264E-1,2.810168862E-1
2.130070000E0,6.785400510E-1,-2.768263817E-1,2.991764545E-1
2.140026000E0,7.862834334E-1,-2.852767110E-1,2.469160706E-1
