"Time (s)","X (µT)","Y (µT)","Z (µT)"
7.994341513E1,4.873215485E1,-7.296104431E0,-9.090133667E0
7.995337113E1,4.865657806E1,-7.395359039E0,-9.080543518E0
7.996332613E1,4.851562500E1,-7.547927856E0,-9.178535461E0
7.997328213E1,4.851860809E1,-7.563179016E0,-9.067588806E0
7.998323712E1,4.842242432E1,-7.631004333E0,-9.075462341E0
7.999319313E1,4.828395844E1,-7.582313538E0,-8.885940552E0
8.000314813E1,4.825609589E1,-7.517498016E0,-8.892242432E0
8.001310413E1,4.797785187E1,-7.461513519E0,-9.005096436E0
8.002305913E1,4.796101379E1,-7.460151672E0,-8.901901245E0
8.003301513E1,4.786089325E1,-7.311840057E0,-8.895469666E0
8.004297012E1,4.767411804E1,-7.078590393E0,-9.102340698E0
8.005292613E1,4.763352203E1,-6.878166199E0,-9.076599121E0
8.006288113E1,4.747024536E1,-6.800407410E0,-9.313133240E0
8.007283713E1,4.745305634E1,-6.610408783E0,-9.512992859E0
8.008279213E1,4.725231934E1,-6.506896973E0,-9.585815430E0
8.009274813E1,4.697531891E1,-6.056545258E0,-9.775352478E0
8.010270312E1,4.687500763E1,-5.844821930E0,-9.995582581E0
8.011265913E1,4.662207031E1,-5.626129150E0,-1.052491760E1
8.012261413E1,4.653282166E1,-5.606327057E0,-1.068944550E1
8.013257013E1,4.644549561E1,-5.556327820E0,-1.086205292E1
8.014252513E1,4.638541412E1,-5.499809265E0,-1.071321106E1
8.015248113E1,4.620973969E1,-5.540824890E0,-1.081898499E1
8.016243612E1,4.611289978E1,-5.607921600E0,-1.105152130E1
8.017239213E1,4.605896759E1,-5.451576233E0,-1.141991425E1
8.018234713E1,4.579564667E1,-5.242408752E0,-1.161322784E1
8.019230313E1,4.566510773E1,-5.141418457E0,-1.181201935E1
8.020225813E1,4.577897644E1,-4.860397339E0,-1.165951538E1
8.021221413E1,4.577827454E1,-4.554279327E0,-1.168192291E1
8.022216912E1,4.582074738E1,-4.315174103E0,-1.152266693E1
8.023212513E1,4.574228668E1,-4.124000549E0,-1.145472717E1
8.024208013E1,4.581857300E1,-3.871356964E0,-1.131930542E1
8.025203613E1,4.570205688E1,-3.629161835E0,-1.135571289E1
8.026199113E1,4.560852051E1,-3.388576508E0,-1.129665375E1
8.027194712E1,4.558364105E1,-2.939987183E0,-1.142086792E1
8.028190212E1,4.539750671E1,-2.562500000E0,-1.162227631E1
8.029185813E1,4.535688019E1,-2.120738983E0,-1.192756653E1
8.030181313E1,4.529714966E1,-1.612091064E0,-1.218785095E1
8.031176913E1,4.519178009E1,-9.079780579E-1,-1.204745483E1
8.032172413E1,4.513422394E1,-3.959808350E-1,-1.202638245E1
8.033168012E1,4.499359131E1,2.091789246E-1,-1.204757690E1
8.034163512E1,4.489031219E1,5.449028015E-1,-1.191812897E1
8.035159113E1,4.499662018E1,8.194847107E-1,-1.206238556E1
8.036154613E1,4.494475555E1,1.142787933E0,-1.194705963E1
8.037150213E1,4.487678528E1,1.467441559E0,-1.210027313E1
8.038145713E1,4.479108429E1,1.557857513E0,-1.216661835E1
8.039141312E1,4.467665863E1,1.812519073E0,-1.236252594E1
8.040136812E1,4.454380798E1,2.149513245E0,-1.255845642E1
8.041132413E1,4.447851562E1,2.344326019E0,-1.259262085E1
8.042127913E1,4.443859863E1,2.579841614E0,-1.257600403E1
8.043123513E1,4.443680573E1,2.773735046E0,-1.259983826E1
8.044119013E1,4.457304382E1,2.910377502E0,-1.243789673E1
8.045114612E1,4.460796356E1,3.061416626E0,-1.236303711E1
8.046110112E1,4.459175873E1,3.257007599E0,-1.215919495E1
8.047105713E1,4.454322052E1,3.652732849E0,-1.226970673E1
8.048101213E1,4.444428253E1,4.054939270E0,-1.202256775E1
8.049096813E1,4.450894165E1,4.446414948E0,-1.205977631E1
8.050092313E1,4.441602325E1,4.860969543E0,-1.220486450E1
8.051087812E1,4.432407379E1,5.323169708E0,-1.221189117E1
8.052083412E1,4.432044220E1,5.778659821E0,-1.199969482E1
8.053079013E1,4.408440399E1,6.286838531E0,-1.213053894E1
8.054074513E1,4.412236786E1,6.611499786E0,-1.195360565E1
8.055070013E1,4.418289185E1,6.840656281E0,-1.196601868E1
8.056065613E1,4.423281097E1,6.965793610E0,-1.199253845E1
8.057061112E1,4.428974152E1,7.047824860E0,-1.187677765E1
8.058056712E1,4.421720886E1,7.183017731E0,-1.193723297E1
8.059052213E1,4.421312714E1,7.297512054E0,-1.185490417E1
8.060047813E1,4.422055817E1,7.396926880E0,-1.189631653E1
8.061043313E1,4.422586060E1,7.535484314E0,-1.197813416E1
8.062038913E1,4.418242645E1,7.759834290E0,-1.195693207E1
8.063034412E1,4.419071960E1,7.788471222E0,-1.201645660E1
8.064030013E1,4.430036926E1,7.648876190E0,-1.163804626E1
8.065025513E1,4.443000031E1,7.757122040E0,-1.157438660E1
8.066021113E1,4.454455566E1,7.613086700E0,-1.131179810E1
8.067016613E1,4.490776062E1,7.411205292E0,-1.105698395E1
8.068012213E1,4.502376556E1,7.329601288E0,-1.096915436E1
8.069007712E1,4.507324982E1,7.074890137E0,-1.096991730E1
8.070003313E1,4.519890594E1,6.913105011E0,-1.070748901E1
8.070998813E1,4.524911499E1,6.913299561E0,-1.084697723E1
8.071994413E1,4.547018433E1,6.947784424E0,-1.075635529E1
8.072989913E1,4.542822266E1,7.085151672E0,-1.072746277E1
8.073985513E1,4.547766113E1,7.211708069E0,-1.084555817E1
8.074981012E1,4.560499573E1,7.072109222E0,-1.092089844E1
8.075976613E1,4.573602295E1,6.855823517E0,-1.113635254E1
8.076972158E1,4.587318420E1,6.772869110E0,-1.090842438E1
8.077967758E1,4.575773621E1,6.516094208E0,-1.129130554E1
8.078963258E1,4.597859955E1,6.147880554E0,-1.157709503E1
8.079958858E1,4.604151154E1,6.057205200E0,-1.171788025E1
8.080954358E1,4.608794403E1,5.983566284E0,-1.170489502E1
